id,title,body,category,priority
TCK-0001,Richiesta preventivo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0002,Richiesta IBAN,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0003,Dettagli offerta,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0004,Problema con fattura,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla? ASAP!",Amministrazione,Alta
TCK-0005,Richiesta preventivo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? ASAP!,Commerciale,Alta
TCK-0006,Server non raggiungibile,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0007,Richiesta IBAN,Ho notato un'incongruenza nella nota di credito emessa ieri. Quando avete tempo.,Amministrazione,Bassa
TCK-0008,Scadenza pagamento,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla? È urgente.",Amministrazione,Alta
TCK-0009,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Solo per informazione.,Tecnico,Alta
TCK-0010,Nuovo ordine,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Risolvete subito.,Commerciale,Alta
TCK-0011,Bonifico non ricevuto,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0012,Sconto per rinnovo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? È urgente.,Commerciale,Alta
TCK-0013,Richiesta IBAN,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0014,Problema con fattura,Ho notato un'incongruenza nella nota di credito emessa ieri. Nessuna fretta.,Amministrazione,Bassa
TCK-0015,Scadenza pagamento,"Il pagamento risulta rifiutato dal sistema, come posso procedere? Produzione ferma.",Amministrazione,Alta
TCK-0016,Richiesta preventivo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono?,Commerciale,Bassa
TCK-0017,Informazioni su licenze,Vorrei capire come funziona il passaggio al piano superiore di licenze software. Nessuna fretta.,Commerciale,Bassa
TCK-0018,Dettagli offerta,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0019,Richiesta IBAN,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0020,Reset password,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. ASAP!,Tecnico,Alta
TCK-0021,Sconto per rinnovo,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0022,Software lento,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Quando avete tempo.",Tecnico,Bassa
TCK-0023,Dettagli offerta,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Solo per avere un'idea.,Commerciale,Bassa
TCK-0024,Nuovo ordine,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto? Situazione bloccante.",Commerciale,Alta
TCK-0025,Nuovo ordine,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0026,Richiesta IBAN,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0027,Crash applicazione,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. Solo per avere un'idea.,Tecnico,Alta
TCK-0028,Sconto per rinnovo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono?,Commerciale,Media
TCK-0029,Problema con fattura,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0030,Sconto per rinnovo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali. Quando avete tempo.,Commerciale,Bassa
TCK-0031,Errore di sistema,"Ho dimenticato la password e il link di reset non funziona, mi dà errore.",Tecnico,Media
TCK-0032,Bonifico non ricevuto,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0033,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Produzione ferma.,Tecnico,Alta
TCK-0034,Bonifico non ricevuto,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0035,Sconto per rinnovo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Produzione ferma.,Commerciale,Alta
TCK-0036,Server non raggiungibile,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. ASAP!,Tecnico,Alta
TCK-0037,Problema con fattura,Ho notato un'incongruenza nella nota di credito emessa ieri.,Amministrazione,Media
TCK-0038,Informazioni su licenze,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0039,Informazioni su licenze,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto?",Commerciale,Media
TCK-0040,Nuovo ordine,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0041,Informazioni su licenze,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto? Nessuna fretta.",Commerciale,Bassa
TCK-0042,Crash applicazione,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Situazione bloccante.",Tecnico,Alta
TCK-0043,Scadenza pagamento,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0044,Bonifico non ricevuto,Necessito del vostro IBAN per effettuare il saldo in scadenza. È urgente.,Amministrazione,Alta
TCK-0045,Problema con fattura,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0046,Bonifico non ricevuto,Necessito del vostro IBAN per effettuare il saldo in scadenza. Solo per avere un'idea.,Amministrazione,Bassa
TCK-0047,Bonifico non ricevuto,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0048,Dettagli offerta,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Risolvete subito.,Commerciale,Alta
TCK-0049,Server non raggiungibile,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. Risolvete subito.,Tecnico,Alta
TCK-0050,Software lento,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Solo per informazione.",Tecnico,Bassa
TCK-0051,Richiesta preventivo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali. Nessuna fretta.,Commerciale,Bassa
TCK-0052,Richiesta IBAN,Necessito del vostro IBAN per effettuare il saldo in scadenza. Risolvete subito.,Amministrazione,Alta
TCK-0053,Errore in nota di credito,Necessito del vostro IBAN per effettuare il saldo in scadenza. Quando avete tempo.,Amministrazione,Bassa
TCK-0054,Errore in nota di credito,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale. ASAP!,Amministrazione,Alta
TCK-0055,Problema con fattura,Necessito del vostro IBAN per effettuare il saldo in scadenza. Risolvete subito.,Amministrazione,Alta
TCK-0056,Server non raggiungibile,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0057,Errore in nota di credito,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0058,Software lento,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. Solo per avere un'idea.",Tecnico,Bassa
TCK-0059,Richiesta IBAN,"Il pagamento risulta rifiutato dal sistema, come posso procedere? È urgente.",Amministrazione,Alta
TCK-0060,Dettagli offerta,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0061,Problema con fattura,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale. Quando avete tempo.,Amministrazione,Bassa
TCK-0062,Bonifico non ricevuto,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0063,Bonifico non ricevuto,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0064,Errore in nota di credito,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0065,Informazioni su licenze,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono?,Commerciale,Media
TCK-0066,Richiesta preventivo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo.,Commerciale,Bassa
TCK-0067,Dettagli offerta,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto?",Commerciale,Media
TCK-0068,Scadenza pagamento,Necessito del vostro IBAN per effettuare il saldo in scadenza. Quando avete tempo.,Amministrazione,Bassa
TCK-0069,Sconto per rinnovo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Solo per informazione.,Commerciale,Bassa
TCK-0070,Errore in nota di credito,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0071,Problema con fattura,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale. Produzione ferma.,Amministrazione,Alta
TCK-0072,Scadenza pagamento,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0073,Reset password,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Nessuna fretta.",Tecnico,Bassa
TCK-0074,Dettagli offerta,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0075,Sconto per rinnovo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0076,Scadenza pagamento,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0077,Dettagli offerta,Vorrei capire come funziona il passaggio al piano superiore di licenze software. Quando avete tempo.,Commerciale,Bassa
TCK-0078,Sconto per rinnovo,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0079,Crash applicazione,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Solo per informazione.",Tecnico,Alta
TCK-0080,Errore in nota di credito,"Il pagamento risulta rifiutato dal sistema, come posso procedere? Produzione ferma.",Amministrazione,Alta
